Strain,Rating,NumReviews,Effmedneg,Strain_description,Flavours,Review_breakdown,THC,Lean
Black Dahlia,4.02040816326531,50,"['Happy 100', 'Focused 89.5424836601307', 'Energetic 88.2352941176471', 'Relaxed 19.6078431372549', 'Sleepy 15.6862745098039', 'Pain 100', 'Stress 86.6666666666667', 'Insomnia 83.3333333333333', 'Depression 43.3333333333333', 'Nausea 30', 'Dry Mouth 100', 'Dry Eyes 35.7142857142857', 'Dizzy 21.4285714285714', 'Headache 21.4285714285714', 'Anxious 14.2857142857143']","One of the lesser-known strains, this hybrid is a purported cross between Black Cherry Soda and Querkle. The flowers have purple-red coloration and are often sticky to the touch thanks to heavy trichome production. Black Dahlia leans toward its indica genetics and delivers strong body effects suitable for insomnia and pain relief.","['Sweet', 'Berry', 'Earthy']","[70.0680272108843, 100.0, 26.7573696145125, 16.7800453514739, 0.0, 13.3786848072562]",12.0,0.5
Black Diamond,4.45847176079734,304,"['Relaxed 100', 'Happy 97.4689466837402', 'Hungry 63.5308223481979', 'Sleepy 58.136444382551', 'Euphoric 58.0719941035212', 'Stress 100', 'Pain 99.489724660814', 'Insomnia 64.9401436552274', 'Depression 62.1922386272945', 'Lack of Appetite 55.9170490822027', 'Dry Mouth 100', 'Paranoid 22.9500212055346', 'Dry Eyes 19.6881792397816', 'Headache 18.5795273816466', 'Anxious 4.91156629380268']","Black Diamond is a Northern California strain ideal for patients who need strong medication but still want to be active and sociable. A cross between Blackberry and Diamond OG, its flowers have a glittery trichome covering and purple coloring that make it a beautiful gem to look at. The strain’s aroma is musky and earthy, almost like a deep red wine. Black Diamond is known to cause fits of giggles and is a great strain for hanging out with friends or catching up on TV shows at home. This strain tends to make consumers extremely hungry, making it a good choice for those looking to increase their appetite (just make sure you have some snacks on hand).","['Earthy', 'Berry', 'Woody']","[100.0, 60.8208955223881, 14.7388059701493, 3.54477611940299, 2.23880597014925, 5.41044776119403]",19.0,0.9
Black Diesel,4.11764705882353,68,"['Euphoric 100', 'Uplifted 97.1061093247588', 'Happy 93.2475884244373', 'Creative 88.4244372990354', 'Focused 86.4951768488746', 'Stress 100', 'Pain 94.8805460750853', 'Depression 89.7610921501706', 'Fatigue 83.617747440273', 'Lack of Appetite 76.4505119453925', 'Dry Mouth 100', 'Dizzy 79.5221843003413', 'Dry Eyes 14.3344709897611', 'Headache 6.14334470989761', 'Paranoid 4.09556313993174']","This infamous sativa strain is the proud winner of multiple Cannabis Cups, solidifying its regal position within the cannabis world. Bred using the genetics of NYC Diesel, Black Diesel’s dense purple flowers have not only an impressive appearance, but also an intense, favorable pungence with sour and fruity undertones. Bred by Advanced Seeds, this plant struggles with mold resistance but compensates with a high yield and THC content. Although Black Diesel produces some traditionally indica effects, patients often find this strain to be well-balanced, beginning with an intense sativa onset followed by a heavy-lidded indica lull.","['Diesel', 'Earthy', 'Pepper']","[100.0, 100.0, 30.7692307692308, 10.2564102564103, 10.2564102564103, 33.3333333333333]",17.0,0.3
Black Domina,4.18978102189781,281,"['Relaxed 100', 'Sleepy 78.5325666795516', 'Happy 76.5394279087747', 'Euphoric 47.1564553536915', 'Hungry 37.6145148821028', 'Insomnia 100', 'Stress 88.8126838612574', 'Depression 63.9974002873367', 'Pain 59.3948826708627', 'Lack of Appetite 38.0507286036806', 'Dry Mouth 100', 'Paranoid 82.8463602817846', 'Headache 69.5806776249581', 'Anxious 68.1969137873197', 'Dry Eyes 34.0221402214022']","Working with four prime examples of Cannabis Afghanica led Sensi Seeds to blend the world's finest indica genetics into a rapid-flowering, crystal-coated hybrid: Black Domina. Combining desirable features from the Northern Lights, Ortega, Hash Plant, and Afghani SA has made this strain equally suited to the needs of commercial growers, connoisseurs, and first-time cultivators. Black Domina delivers a spicy pepper aroma alongside overwhelming relaxation and sleepiness, making this strain ideal for late night use.","['Earthy', 'Woody', 'Pine']","[100.0, 91.1764705882353, 29.4117647058824, 8.33333333333333, 4.90196078431373, 11.5196078431373]",17.5,0.95
Black Haze,4.45,41,"['Creative 100', 'Focused 99.3963782696177', 'Relaxed 85.3118712273642', 'Euphoric 84.1046277665996', 'Hungry 79.8792756539235', 'Stress 100', 'Depression 98.5645933014354', 'Lack of Appetite 95.6937799043062', 'Pain 57.8947368421053', 'Nausea 50.7177033492823', 'Dry Mouth 100', 'Dry Eyes 12.0967741935484', 'Dizzy 4.83870967741936', 'Anxious 4.83870967741936', 'Headache 2.41935483870968']","Black Haze is a sativa-dominant hybrid that blends Colombian Black, Colombian Gold, and Purple Haze. It is known for its deep purple buds that are so dark they appear almost black. Black Haze has an earthy flavor profile, highlighted by woody notes and complemented with sweet hints of berries and cherries. The effects of Black Haze are relaxing with an elevated mood perfect for unwinding and won’t stop you from staying active.","['Spicy/Herbal', 'Berry', 'Lavender']","[100.0, 57.2490706319703, 17.8438661710037, 3.53159851301115, 0.0, 7.0631970260223]",17.0,0.385
Black Ice,4.22033898305085,65,"['Relaxed 100', 'Sleepy 91.5116833571769', 'Happy 85.4077253218884', 'Tingly 70.3385789222699', 'Euphoric 66.0944206008584', 'Insomnia 100', 'Stress 99.5160314579553', 'Pain 95.5837870538415', 'Inflammation 72.1113127646703', 'Depression 25.4688445251059', 'Dry Eyes 100', 'Dry Mouth 24.6684350132626', 'Dizzy 2.12201591511936', 'Anxious 0.530503978779841']","A cross between hybrids Black Domina and White Widow, Black Ice is an indica-dominant hybrid that is a reliable sedative. Although this flower has a pleasant aroma, its potency sets it apart from the rest. A product of Moon Seeds, Black Ice offers a high yield with an impressive THC content of up to 24%, making this strain optimal for pain and insomnia relief.","['Pine', 'Berry', 'Mint']","[100.0, 60.0, 32.5581395348837, 10.0, 0.0, 30.0]",21.0,0.9
Black Jack,4.396551724137931,353,"['Uplifted 100', 'Relaxed 97.7654098711183', 'Happy 94.4124400757362', 'Energetic 58.5908230270314', 'Euphoric 54.568188931481', 'Stress 100', 'Depression 85.3152620356254', 'Pain 84.3115020048072', 'Fatigue 71.2599087392232', 'Muscle Spasms 65.8830104119757', 'Dry Mouth 100', 'Dizzy 40.7875763242683', 'Anxious 36.83054322601', 'Dry Eyes 8.16190883896988', 'Headache 1.55464930266093']","Black Jack is a marijuana strain that produces hard buds with huge, grape-like calyxes that are completely encrusted with THC. The taste is heavy and flavorful and the strain produces exceptionally long-lasting effects. Because of its high THC levels, Black Jack is popular among medical marijuana patients.","['Earthy', 'Pine', 'Woody']","[100.0, 60.1102941176471, 14.7058823529412, 3.125, 2.38970588235294, 3.49264705882353]",17.5,0.5
Black Label,4.0,1,"['Creative 100', 'Euphoric 100', 'Relaxed 100', 'Eye Pressure 100', 'Lack of Appetite 100']","Crossing Organkid OG-kush 2003 and an unknown kush, Black Label is an indica-dominant hybrid bred by Israel’s Seach Medical Cannabis Group. It has a pine and lemony scent with dense resinous buds. Black Label is great for winding down at the end of the evening as its fast-acting high helps sedate both body and mind.","['Diesel', 'Earthy', 'Pungent']","[100.0, 18.1933842239186, 9.03307888040712, 0.0, 0.0, 0.0]",,0.6
Black Label Kush,4.18518518518519,28,"['Relaxed 100', 'Euphoric 92.3728813559322', 'Happy 91.9491525423729', 'Focused 88.5593220338983', 'Uplifted 81.7796610169491', 'Stress 100', 'Insomnia 88.9344262295082', 'Headaches 19.2622950819672', 'Pain 13.9344262295082', 'Depression 11.0655737704918', 'Dizzy 100', 'Dry Mouth 19.2513368983957', 'Dry Eyes 18.1818181818182', 'Headache 0.53475935828877', 'Paranoid 0.53475935828877']","This lesser-known strain is a classic indica that provides patients with reliable and lengthy pain and stress relief. The effects transition from light and floaty to the heavy sedation typical of indica plants. Black Label Kush has a strong pungence bordering on the harsh side, but provides a rich medicating experience.","['Earthy', 'Woody', 'Spicy/Herbal']","[100.0, 66.7630057803468, 16.7630057803468, 0.0, 10.9826589595376, 94.5086705202312]",,0.73
Black Lime Special Reserve,4.55555555555556,108,"['Euphoric 100', 'Relaxed 99.6567971613053', 'Uplifted 87.132802047583', 'Happy 52.4809493339538', 'Focused 50.6544121924263', 'Stress 100', 'Depression 84.7373188405797', 'Pain 70.3351449275362', 'Fatigue 60.5525362318841', 'Insomnia 42.5837862318841', 'Dry Mouth 100', 'Dry Eyes 54.8223350253807', 'Dizzy 4.82233502538071', 'Headache 4.82233502538071', 'Anxious 4.82233502538071']","From Aficionado Seeds comes Black Lime Special Reserve, an indica strain that descends from Woodman Canyon Oil Can, Lime Afghani, Northern Lights, Purple Kush, and Chemdawg Special Reserve. Flavors of pine, lemon, and black pepper are ushered in alongside uplifting euphoria, leaving you feeling tingly and relaxed.","['Lime', 'Pepper', 'Earthy']","[100.0, 33.6283185840708, 8.84955752212389, 3.98230088495575, 0.0, 1.03244837758112]",19.0,0.7
Black Lotus,5.0,2,[],"Black Lotus by Bodhi Seeds is a mixture of famous Pacific Northwest seed stock and Bodhi’s own Snow Lotus. This heavy strain has a spicy, earthy flavor and a pungent aroma that calls out to its Afgooey lineage. The addition of ‘87 UW Black Hashplant piles on the physical relaxation and gives the aroma a sweet and spicy kick. This elusive strain leaves a strong sedating buzz in the body, leading consumers toward rest and relaxation. It should be utilized after dark to maximize the sleepy effects central to these potent genetics.",[],"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,0.42
Black Magic,4.5,2,"['Happy 100', 'Relaxed 100', 'Sleepy 53.3333333333333', 'Uplifted 46.6666666666667', 'Euphoric 46.6666666666667', 'Depression 100', 'Pain 100', 'Cramps 57.1428571428571', 'Insomnia 57.1428571428571', 'Inflammation 42.8571428571429', 'Dry Eyes 100', 'Dry Mouth 100']","Black Magic by Andromeda Strains is a deep, dark cannabis variety with exclusive genetics. Created from Melvanetics’ own Buckeye Purple and Andromeda’s Cherry Sauce, Black Magic combines top-shelf phenotypes to create a unique strain with an equally unique look. One of the growers at Andromeda Strains noted that Black Magic was created by crossing their two darkest plants, producing the darkest strain they’ve ever seen. Expressing intoxicating pungent and sweet aromas, Black Magic is not a strain to miss.",['Earthy'],"[100.0, 66.6666666666667, 0.0, 0.0, 0.0, 0.0]",,0.48
Black Magic Kush,4.27272727272727,11,"['Relaxed 100', 'Happy 98.6666666666667', 'Sleepy 96', 'Euphoric 50.6666666666667', 'Creative 48', 'Insomnia 100', 'Lack of Appetite 100', 'Stress 100', 'Cramps 50', 'Depression 50', 'Dry Mouth 100', 'Dry Eyes 40']","Black Magic Kush (also known simply as Black Magic) is an indica-dominant strain with mysterious and arcane genetics. With jade green foliage and bright orange pistils, Black Magic Kush looks nearly as good as it tastes. Exhibiting a terpene profile soaked in sweetness, berry, and herbaceous overtones, Black Magic Kush delivers a pleasurable variety of flavors, aromas, and effects that help nullify stress and encourage rest. Utilize this strain at the end of the day to make the most of its sleep-inducing qualities.","['Berry', 'Earthy', 'Chemical']","[100.0, 30.7692307692308, 7.69230769230769, 0.0, 15.3846153846154, 0.0]",,0.79
Black Mamba,4.60126582278481,162,"['Relaxed 100', 'Sleepy 78.0923730313219', 'Focused 37.8399103403527', 'Tingly 37.2205509349378', 'Euphoric 36.2413732082817', 'Stress 100', 'Insomnia 91.3879378456677', 'Pain 90.9270476692126', 'Lack of Appetite 68.3170924414011', 'Headaches 67.0792731103503', 'Dry Mouth 100', 'Dry Eyes 64.9915049628901', 'Dizzy 11.2849861396763', 'Paranoid 7.62764911025664', 'Headache 5.2222122865063']","Black Mamba is named after the deadly African snake (or perhaps the vengeful bride from the movie Kill Bill), so it’s no surprise that this strain is known for being strong (it might just knock less experienced users into nap time). The genetics of this strain are unknown, but its characteristics seem to support the theory that it is a descendent of Granddaddy Purple and maybe Black Domina. These plants produce dark green to purple leaves, but it’s the flowers that appear after about 8 weeks that really give a hint to its supposed heritage. Dark green and dense, these hard nugs have a strong perfumey aroma and a distinctly sweet grape taste that is reminiscent of GDP. Many users report an upbeat feeling that mellows into a state of deep relaxation. Touted for its long-lasting effects, this Black Mamba is one to curl up with, not run away from.","['Grape', 'Earthy', 'Pungent']","[100.0, 35.8118361153263, 5.91805766312595, 2.57966616084977, 2.57966616084977, 4.7040971168437]",19.0,0.7
Black Out,,0,[],"Bred by Archive Seed Bank, Black Out is a cross between The Black and Face Off OG. The result is a thick, dense structure with compact purple buds. The flavor and aroma are reminiscent of smells from the Middle East: pepper, hash plant, incense, and blackberry. Expect potent effects, making this a great strain to enjoy before bed.",[],[],,0.55
Black Roses,4.5,4,"['Relaxed 100', 'Uplifted 81.8181818181818', 'Euphoric 54.5454545454545', 'Sleepy 45.4545454545455', 'Focused 45.4545454545455', 'Pain 100']","Black Roses by Red Dirt Ridge Genetics is a heavy, one-hitter-quitter indica designed for the seasoned cannabis consumer. This cross of Grand Reserve Headband and Early Girl reeks of sweet citrus and funky fuel, intoxicating the sense even before combustion. Its effects lay into the body, evaporating stress from the mind while cementing the consumer to the couch. This heavy indica is a perfect end-of-the-day strain to wash away stress and worries or to frontload sleep with sedative cannabinoids.","['Flowery', 'Earthy', 'Berry']","[75.1313485113835, 100.0, 0.0, 0.0, 0.0, 0.0]",,0.68
Black Russian,4.28378378378378,74,"['Relaxed 100', 'Happy 62.3688155922039', 'Euphoric 44.8275862068966', 'Hungry 39.5802098950525', 'Uplifted 25.0374812593703', 'Stress 100', 'Eye Pressure 53.8922155688623', 'Insomnia 41.9161676646707', 'Pain 41.9161676646707', 'Depression 37.7245508982036', 'Dry Mouth 100', 'Paranoid 56.25', 'Anxious 51.875', 'Dry Eyes 30.625', 'Dizzy 17.5']","Black Russian is an 80/20 indica-dominant strain bred by Delicious Seeds, who created this strain by crossing a Black Domina mother with White Russian. Notes of mango and citrus collide with lemon candy to create a medley of sweet tropical aromas that burst from Black Russian’s compact buds. This indica is known for her potency and endurance, making Black Russian the perfect choice for either patients seeking long-lasting symptom relief or anyone in need of deep relaxation of both mind and body.","['Citrus', 'Sweet', 'Pungent']","[100.0, 44.6584938704028, 19.614711033275, 7.18038528896672, 3.50262697022767, 0.0]",20.5,0.8
Black Tuna,4.52976190476191,170,"['Relaxed 100', 'Euphoric 79.9837843316104', 'Creative 58.7513935340022', 'Sleepy 57.4744096483227', 'Happy 56.9676700111483', 'Pain 100', 'Stress 74.0471869328494', 'Insomnia 59.5281306715064', 'Lack of Appetite 53.8566243194192', 'Nausea 49.2437991530551', 'Dry Mouth 100', 'Dry Eyes 14.50636610311', 'Anxious 13.9845543727823', 'Dizzy 9.81006053016072', 'Paranoid 0.939261114589856']","Black Tuna is a British Columbian strain created by 5 Star Organic to give patients a potent punch of THC that is ideal for chronic pain relief. This Herijuana and Lamb's Bread cross has gained quite a bit of fame in Canada for both its strong narcotic effect and its whimsical marketing—prepackaged meds were sold in sealed tuna cans. Flowers will be compact, trichome-covered and have a strong smell. Black Tuna doesn’t smell quite like fish, however; the strain’s name comes from the Black Tuna Gang that was famous for smuggling Colombian marijuana into the United States in the 1970s. Given its potency and high THC, this strain may be too much for novice or moderate consumers.","['Earthy', 'Woody', 'Cheese']","[100.0, 56.6265060240964, 10.3270223752151, 2.23752151462995, 1.54905335628227, 1.54905335628227]",18.0,0.5
Black Velvet,3.9,20,"['Hungry 100', 'Uplifted 92.4528301886792', 'Talkative 90.5660377358491', 'Sleepy 15.0943396226415', 'Happy 13.2075471698113', 'Stress 100', 'Pain 85.7142857142857', 'Depression 71.4285714285714', 'Nausea 57.1428571428571', 'Insomnia 42.8571428571428', 'Dry Eyes 100', 'Dry Mouth 71.4285714285714']","This 50/50 hybrid strain is a cross of The Black and Burmese Kush that yields a potent flower with both cerebral and physical effects. The flower gets its density and purple-black hue from its Black indica parent but takes on a fruity, citrus aroma thanks to the Burmese sativa. With its high THC levels, Black Velvet is optimal for intermediate to experienced patients and is favored for its well-balanced effects.","['Sweet', 'Flowery', 'Citrus']","[100.0, 100.0, 75.0, 12.5, 0.0, 25.0]",15.0,0.5
Black Widow,4.162629757785471,298,"['Relaxed 100', 'Euphoric 85.5427631578947', 'Energetic 82.5287828947368', 'Hungry 73.4991776315789', 'Creative 67.4917763157895', 'Headaches 100', 'Stress 97.7724568277464', 'Insomnia 83.3841242199971', 'Pain 82.5134233057612', 'Depression 60.8910172689015', 'Dry Mouth 100', 'Anxious 72.4479029279873', 'Dry Eyes 57.3133737800053', 'Paranoid 35.6766024795568', 'Dizzy 13.8683724610921']","Originally created by legendary breeder Shantibaba when he was co-owner of Green House Seeds, Black Widow was then known as White Widow. When Shantibaba left GHS and found Mr. Nice Seeds, he took the original Brazilian sativa mother and South Indian indica-dominant hybrid father with him to recreate his world renowned White Widow seeds. Because GHS and others were selling seeds with the name White Widow, he changed the name to Black Widow to create a distinction between them. Black Widow is now considered by many to be the only “true” White Widow available in seed form, as Mr. Nice is the lone seed breeder to possess the original parental genetics.","['Earthy', 'Pungent', 'Woody']","[100.0, 76.7058823529412, 34.3529411764706, 6.35294117647059, 3.29411764705882, 14.5882352941176]",21.0,0.575
Blackberry,4.24854368932039,539,"['Relaxed 100', 'Happy 95.1218232784607', 'Euphoric 61.4158619247553', 'Uplifted 60.9666100670644', 'Creative 47.5499893291905', 'Depression 100', 'Stress 89.599906623657', 'Nausea 75.2801290291286', 'Pain 64.8197048337416', 'Headaches 50.5572263588077', 'Dry Mouth 100', 'Dry Eyes 37.3460442451937', 'Dizzy 12.5231484786463', 'Headache 1.172856251412', 'Paranoid 1.11700595372572']","Blackberry is a popular strain known for its balance of an active sativa buzz and the high yields of plants due to its indica side. It was bred in 2009 by Dutch company Nirvana Seeds as a cross between a Black Domina clone from the U.S and their own Raspberry Cough. Flowering happens between 9 and 11 weeks and plants will have a tight leaf structure and frosty buds. Indoor growing is recommended, but be warned, Blackberry plants are pungent. This strain has strong smoke that can have a fuel smell, but it is dominantly fruity.","['Berry', 'Sweet', 'Flowery']","[100.0, 97.4554707379135, 35.1145038167939, 4.32569974554707, 2.29007633587786, 15.2671755725191]",21.0,0.5
Blackberry Bubble,4.692307692307691,26,"['Relaxed 100', 'Happy 98.0099502487562', 'Euphoric 82.089552238806', 'Hungry 79.1044776119403', 'Aroused 77.6119402985075', 'Pain 100', 'Depression 97.5757575757576', 'Stress 97.5757575757576', 'Lack of Appetite 95.1515151515152', 'Nausea 76.969696969697', 'Dry Eyes 100', 'Dry Mouth 0.632911392405063', 'Anxious 0.632911392405063']","Blackberry Bubble is exclusively produced by Arizona Natural Selections, and is the delectable cross of Sour Bubble and Blackberry Kush. This 80/20 indica-dominant strain offers pain relief and mental ease without anchoring the consumer to the couch. Though, with continued use, this strain can be quite sedative. Expect flavors of bubble gum and blackberry, and a euphoric mental state that lingers.","['Berry', 'Blueberry', 'Sweet']","[100.0, 20.8215297450425, 4.10764872521247, 8.35694050991502, 4.10764872521247, 4.10764872521247]",17.0,0.8
Blackberry Chem OG,4.23529411764706,17,"['Relaxed 100', 'Euphoric 94.2307692307692', 'Talkative 82.6923076923077', 'Focused 76.9230769230769', 'Happy 28.8461538461539', 'Depression 100', 'Stress 100', 'Pain 92.5', 'Muscle Spasms 85', 'Dry Eyes 100', 'Paranoid 8.82352941176471', 'Anxious 8.82352941176471']","Blackberry Chem OG is a hybrid strain that combines the fruity, mid-level sedation of Blackberry with the gently stimulating but overall subdued Chemdawg. This strain’s unique aroma of tart chemicals and sweet fruit makes it a favorite for consumers with diverse palates. The effects are moderate on the physical and mental front, showing up as a warm haze in the mind and lightness in the body. Blackberry Chem OG lends itself to curbing minor physical discomfort and numbing the mind to repetitive tasks.","['Citrus', 'Tree Fruit', 'Earthy']","[100.0, 69.8901098901099, 29.8901098901099, 20.0, 0.0, 0.0]",,0.55
Blackberry Cobbler,4.0,1,[],"Blackberry Cobbler is a lustrous flower with orange and red stigma knotted around frosty foliage. This strain was created by Phantom Farms, and is a cross of Blackberry Kush and Trainwreck. It expresses sweet, fruity aromas and a resilient growth structure, offering some mold resistance over its quick 55-day flowering time. Blackberry Cobbler generates an average yield, but the potent fragrance and pleasurable physical effects make every nug that much more precious.","['Sweet', 'Berry', 'Flowery']","[0.0, 100.0, 0.0, 0.0, 0.0, 0.0]",,0.55
Blackberry Cream,4.83870967741936,31,"['Relaxed 100', 'Happy 93.2745314222712', 'Euphoric 85.832414553473', 'Uplifted 84.3991179713341', 'Creative 49.7794928335171', 'Pain 100', 'Stress 97.6541554959785', 'Muscle Spasms 55.5630026809651', 'Insomnia 54.9597855227882', 'Spasticity 48.2573726541555', 'Dry Eyes 100', 'Dry Mouth 70.1863354037267', 'Dizzy 29.8136645962733', 'Paranoid 8.07453416149068']","Blackberry Cream from Exotic Genetix combines the sweet berry terpenes of Blackberry Kush with the smooth creamy notes of Cookies and Cream. This 70% indica hybrid produces THC levels up to 25%, above average yields, and is an excellent choice for hash making.","['Pungent', 'Berry', 'Sweet']","[100.0, 25.7861635220126, 0.0, 0.0, 0.0, 0.0]",25.0,0.7
Blackberry Diesel,4.11764705882353,17,"['Uplifted 100', 'Creative 77.0588235294118', 'Aroused 69.4117647058824', 'Giggly 69.4117647058824', 'Happy 62.9411764705882', 'Stress 100', 'Depression 8.41121495327103', 'Lack of Appetite 8.41121495327103', 'Fatigue 5.60747663551402', 'Headaches 5.60747663551402', 'Dry Mouth 100', 'Anxious 77.8846153846154', 'Dry Eyes 5.76923076923077', 'Dizzy 2.88461538461538', 'Headache 2.88461538461538']","Blackberry Diesel is an 80/20 sativa-dominant cross between East Coast Sour Diesel and Plushberry. This sativa mainly takes after its Sour Diesel parent, inheriting that signature fuel aroma and potently blissful cerebral effects. Its tangy flavor is sweetened by the ripe berry flavors of its Plushberry parent. Tinted with lavender and purple hues, Blackberry Diesel is almost as pleasant to the eyes as it is to the nose.","['Diesel', 'Berry', 'Pungent']","[91.6083916083916, 100.0, 33.3333333333333, 8.39160839160839, 0.0, 0.0]",21.0,0.19999999999999998
Blackberry Dream,4.454545454545451,11,"['Happy 100', 'Energetic 65.6716417910448', 'Uplifted 62.6865671641791', 'Relaxed 62.6865671641791', 'Creative 59.7014925373134', 'Depression 100', 'Pain 100', 'Headaches 93.1034482758621', 'Stress 93.1034482758621', 'Muscle Spasms 68.9655172413793', 'Dry Eyes 100', 'Dry Mouth 100']","Blackberry Dream y Elev8 Seeds is a fruity hybrid cross that might surprise you. Not to be confused with the many Blue Dream “Dream” crosses out there, Blackberry Dream is the offspring of Kimbo Kush and Super Silver Haze. This generous plant produces a massive yield of glittering emerald-colored buds that reek of jam and spice. The strain flowers over 9-10 weeks and generally benefits from a little extra time on the stalk. Mind your dosage while enjoying this strain. The hybrid genetics begin with a heady sativa-dominant bent, but can get heavier on the body with continued consumption.","['Berry', 'Citrus', 'Tropical']","[100.0, 24.929178470255, 8.35694050991502, 8.35694050991502, 0.0, 0.0]",,0.25
Blackberry Fire,4.83333333333333,12,"['Happy 100', 'Focused 60.4651162790698', 'Relaxed 60.4651162790698', 'Creative 39.5348837209302', 'Talkative 27.906976744186', 'Lack of Appetite 100', 'Fatigue 22.2222222222222', 'Inflammation 22.2222222222222', 'Muscle Spasms 22.2222222222222', 'Nausea 22.2222222222222', 'Dizzy 100', 'Dry Eyes 100', 'Dry Mouth 100']","Blackberry Fire by Purple Caper Seeds is a fuel-flavored cross of Blackberry Kush and Fire Lady. This strain was awarded 2nd place at the 2016 HempCon Cup Awards. Its terpene profile is less berry and more gas, offering sour, chemically sweetness with hints of fruit throughout. This strain’s long-lasting buzz lends itself to consumers seeking resilient physical effects.","['Berry', 'Sweet', 'Blueberry']","[100.0, 16.625, 8.375, 0.0, 0.0, 0.0]",,0.51
Blackberry Hashplant,3.6363636363636402,26,"['Euphoric 100', 'Sleepy 76.9230769230769', 'Uplifted 61.5384615384615', 'Energetic 61.5384615384615', 'Happy 61.5384615384615', 'Pain 100', 'Stress 61.1111111111111', 'Insomnia 33.3333333333333', 'Nausea 33.3333333333333', 'Fatigue 16.6666666666667', 'Dry Mouth 100', 'Dry Eyes 76.9230769230769', 'Dizzy 23.0769230769231', 'Headache 15.3846153846154', 'Paranoid 7.69230769230769']","Blackberry Hashplant is an indica strain that’s a harmony of Blackberry Kush and Hashplant Haze. It delivers well-balanced (although not long-lasting) effects whose potency varies among consumers. Blackberry Hashplant’s light green flowers are on the smaller side, with a dry, earthy aroma. This plant’s versatility makes it an excellent candidate for a variety of cerebral and physical medical purposes depending upon the patient’s ailments and response.","['Berry', 'Sweet', 'Earthy']","[18.8172043010753, 93.8172043010753, 43.8172043010753, 12.6344086021505, 0.0, 100.0]",,0.84
Blackberry Haze,4.48275862068965,21,"['Happy 100', 'Relaxed 86.9565217391304', 'Uplifted 60.8695652173913', 'Energetic 43.4782608695652', 'Hungry 43.4782608695652', 'Depression 100', 'Stress 87.5', 'Pain 62.5', 'Muscle Spasms 37.5', 'Fatigue 25', 'Dry Mouth 100', 'Dry Eyes 33.3333333333333', 'Paranoid 33.3333333333333', 'Anxious 16.6666666666667']","Blackberry Haze, developed by Nebu Hybridz, is a sativa-dominant hybrid cross between Blackberry and Lime Haze. Unlike its sibling strain Blackberry Lime Haze, this phenotype takes after its Blackberry parent with twisting purple calyxes and a sweet berry aroma. Notes of violet, spice, and cocoa can also be detected in this sativa's frost-covered buds. For those days when productivity is paramount, Blackberry Haze offers clear, unencumbered relief that will typically leave your motivation in tact.","['Berry', 'Sweet', 'Flowery']","[100.0, 68.1818181818182, 13.6363636363636, 0.0, 0.0, 0.0]",,0.32
Blackberry Kush,4.29736070381232,1754,"['Relaxed 100', 'Sleepy 65.5893823363343', 'Happy 58.5384976965412', 'Euphoric 53.3711079774109', 'Uplifted 33.3815801793775', 'Insomnia 100', 'Stress 82.5460090529261', 'Pain 78.9484354019226', 'Depression 71.594981281755', 'Lack of Appetite 47.3073444063442', 'Dry Mouth 100', 'Dry Eyes 74.6499060067506', 'Dizzy 64.2992521099986', 'Anxious 27.6103627116612', 'Headache 26.8522004648522']","This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs. Plants will flower at 7-8 weeks and are not particularly high yielders, but the dense, hard nugs have crystals throughout. Blackberry Kush tends to have a hashy, jet fuel smell and taste that is balanced by sweet berries. Blackberry Kush is often recommended for the treatment of pain thanks to its strong indica body effects.","['Berry', 'Sweet', 'Earthy']","[100.0, 82.0861678004535, 24.2630385487528, 5.4421768707483, 2.04081632653061, 13.1519274376417]",13.0,0.8
Blackberry Lime Haze,4.64516129032258,19,"['Happy 100', 'Uplifted 95', 'Euphoric 85', 'Focused 70', 'Energetic 65', 'Stress 100', 'Depression 91.6666666666667', 'Pain 75', 'Fatigue 66.6666666666667', 'Lack of Appetite 41.6666666666667', 'Dry Eyes 100', 'Headache 100']","Blackberry Lime Haze is a 90% sativa cross between Blackberry and Lime Haze that induces high-energy, clear-headed effects. Sweet lime and peppery spice overlay a subtle mix of honey, berry, and floral notes in a show of Blackberry Lime Haze’s rich terpene profile. Functional creativity coupled with a happy mood make this strain conducive to productive afternoons or an active weekend with friends. Blackberry Lime Haze is a potent medicine for a variety of ailments, some of which include depression, headaches, fibromyalgia, spinal cord injury, multiple sclerosis, fatigue, pain, and spasms. Despite its sativa-leaning genetics, Blackberry Lime Haze grows into dense, chunky buds with a heavy coat of crystal trichomes. Though similar to Blackberry Haze, this phenotype leans more toward its Lime Haze parent in appearance and aroma.","['Berry', 'Sweet', 'Lime']","[100.0, 28.629579375848, 7.19131614654003, 0.0, 0.0, 0.0]",,0.15
